ID;fullName;email;phoneNumber
6d48e419-4abb-413d-9d49-197c209edc3b;Bob Buyer;bob.buyer@panorama-studios.biz;20644668800
8ed02dbe-466a-44a3-8678-87087cf1c80f;Bart Koenig;bart.koenig@tecum-ag.de;01712511415
9f5c9e77-a27e-4a29-b135-332fbbb4f58f;Maria Brown;maria.brown@delbont.com;2053352668
ca9d24a5-47a8-4080-aa6c-219ed4fdbeef;Karl Müller;do.not.reply@sap.com;01783456789
f611d4f9-7ec0-4716-bd6a-37f924db1fb5;Frederik Christensen;frederik.christensen@dftc.dk;29233248
12f4c9ea-6e41-4e80-9916-f83b0f56cbaa;Jian Si;jian.si@siwusha.cn;6479751078
1cb27206-3f57-498d-a359-fe15852bb09e;Saskia Sommer;saskia.sommer@talpa-hannover.de;01701403266
b16c8570-094f-47e0-b83d-5e956983f601;Alexis Harper;alexis.harper@flor-hc.com;21065470312
abf5ed2f-13f2-4b97-a152-97ba83aae643;Amélie Troyat;melie.troyat@angere.fr;613371485
48642f59-4bdb-46fb-a96d-d34a689fc6d6;Jorge Velez;jorge.velez@telecomunicacionesstar.com;01123224060
5907314d-6f69-4833-af49-b797d94be485;Isabel Nemours;isabel.nemours@pateu.fr;61126098641
8dba4d9a-928e-404e-a049-c17ccd534cc1;Alessio Galasso;alessio.galasso@tcdr.it;34588303001
2faa73ee-c09c-4425-bace-970f376431bc;Pete Waltham;pete_waltham@pc-gym-tec.com;3312141512
dfd4e354-e2fc-46ff-a774-cd574fd8182b;Joseph Gschwandtnerl;joseph_gschwandtner@alp-systems.at;06508289569
dde59948-3c9b-4d4a-9198-ca30d1aaaa80;Sarah Schwind;sarah.schwind@hepa-tec.de;01707867136
